,customer_id,product_id,interaction_type,interaction_date
0,CID0438,P6603,purchased,2024-09-12
1,CID0489,P4587,clicked,2024-07-26
2,CID0778,P3665,viewed,2024-06-19
3,CID0870,P2181,purchased,2024-02-17
4,CID0722,P3997,purchased,2024-08-17
5,CID0203,P2181,viewed,2024-08-04
6,CID0532,P6493,purchased,2024-07-24
7,CID0584,P6493,viewed,2024-04-19
8,CID0486,P3997,clicked,2024-06-17
9,CID0232,P8741,clicked,2024-09-19
10,CID0808,P3696,viewed,2024-06-04
11,CID0748,P6493,viewed,2024-04-01
12,CID0739,P9488,purchased,2024-05-20
13,CID0161,P1689,clicked,2024-03-20
14,CID0008,P7513,purchased,2024-07-13
15,CID0373,P1112,clicked,2024-06-05
16,CID0141,P8741,clicked,2024-07-09
17,CID0773,P1689,purchased,2024-06-02
18,CID0867,P9089,clicked,2024-05-24
19,CID0440,P1689,clicked,2024-06-13
20,CID0922,P6839,clicked,2024-03-23
21,CID0490,P6839,viewed,2024-03-17
22,CID0032,P7189,purchased,2024-04-06
23,CID0064,P5640,viewed,2024-06-12
24,CID0592,P3997,purchased,2024-02-02
25,CID0179,P3576,viewed,2024-07-03
26,CID0680,P1539,viewed,2024-09-12
27,CID0257,P5069,purchased,2024-06-13
28,CID0008,P2181,viewed,2024-09-09
29,CID0200,P8282,purchased,2024-03-13
30,CID0578,P9854,purchased,2024-07-14
31,CID0764,P9854,purchased,2024-01-13
32,CID0322,P6344,viewed,2024-01-16
33,CID0169,P8741,purchased,2024-04-19
34,CID0210,P6603,viewed,2024-02-04
35,CID0752,P5069,purchased,2024-08-31
36,CID0662,P8104,viewed,2024-02-05
37,CID0861,P7893,viewed,2024-06-30
38,CID0293,P9854,clicked,2024-04-19
39,CID0540,P9633,clicked,2024-06-13
40,CID0141,P9633,clicked,2024-09-01
41,CID0208,P5728,clicked,2024-08-27
42,CID0821,P8104,purchased,2024-03-03
43,CID0168,P6608,purchased,2024-01-04
44,CID0253,P1689,purchased,2024-06-09
45,CID0758,P3106,purchased,2024-02-15
46,CID0482,P5069,purchased,2024-04-28
47,CID0344,P5672,viewed,2024-04-29
48,CID0488,P9633,viewed,2024-08-26
49,CID0519,P5728,clicked,2024-07-02
50,CID0920,P7308,purchased,2024-06-19
51,CID0196,P7308,clicked,2024-07-22
52,CID0901,P1689,viewed,2024-05-15
53,CID0555,P5069,clicked,2024-01-17
54,CID0876,P2181,clicked,2024-01-04
55,CID0358,P8104,viewed,2024-01-16
56,CID0467,P9488,viewed,2024-04-19
57,CID0722,P6422,viewed,2024-03-29
58,CID0275,P5002,viewed,2024-05-04
59,CID0990,P8104,clicked,2024-08-19
60,CID0826,P6493,purchased,2024-09-16
61,CID0157,P1615,viewed,2024-09-11
62,CID0711,P8282,purchased,2024-05-31
63,CID0388,P1539,clicked,2024-05-18
64,CID0573,P5069,clicked,2024-05-09
65,CID0439,P1484,clicked,2024-05-12
66,CID0215,P3665,viewed,2024-05-30
67,CID0543,P8282,purchased,2024-09-15
68,CID0057,P9089,viewed,2024-03-04
69,CID0633,P5994,clicked,2024-07-05
70,CID0389,P5669,clicked,2024-04-23
71,CID0297,P1484,viewed,2024-07-31
72,CID0350,P7189,clicked,2024-05-29
73,CID0621,P6603,purchased,2024-08-22
74,CID0143,P2181,purchased,2024-04-14
75,CID0824,P6493,viewed,2024-07-28
76,CID0184,P5741,viewed,2024-04-02
77,CID0828,P9488,purchased,2024-08-22
78,CID0857,P1284,viewed,2024-09-19
79,CID0876,P3106,clicked,2024-09-16
80,CID0644,P3665,purchased,2024-01-04
81,CID0280,P7629,purchased,2024-04-28
82,CID0836,P5728,purchased,2024-04-22
83,CID0295,P6839,purchased,2024-02-19
84,CID0718,P3576,viewed,2024-07-15
85,CID0637,P5640,purchased,2024-08-20
86,CID0845,P3576,viewed,2024-08-12
87,CID0113,P8191,purchased,2024-04-13
88,CID0417,P1615,purchased,2024-07-22
89,CID0898,P8282,purchased,2024-01-22
90,CID0572,P5069,purchased,2024-04-10
91,CID0877,P6493,clicked,2024-08-26
92,CID0140,P9813,viewed,2024-08-07
93,CID0935,P9089,clicked,2024-06-16
94,CID0290,P3106,viewed,2024-03-22
95,CID0994,P3106,clicked,2024-07-12
96,CID0691,P9488,viewed,2024-07-23
97,CID0280,P6608,viewed,2024-08-04
98,CID0222,P6608,clicked,2024-08-16
99,CID0781,P1284,clicked,2024-08-12
100,CID0019,P7513,purchased,2024-01-01
101,CID0944,P9813,purchased,2024-03-26
102,CID0932,P8104,purchased,2024-04-07
103,CID0249,P6493,purchased,2024-03-05
104,CID0223,P9813,clicked,2024-08-08
105,CID0020,P3576,purchased,2024-09-15
106,CID0956,P3665,clicked,2024-09-14
107,CID0016,P9089,purchased,2024-04-17
108,CID0373,P7308,clicked,2024-06-13
109,CID0719,P7513,purchased,2024-06-11
110,CID0960,P6184,purchased,2024-01-24
111,CID0596,P4949,viewed,2024-08-20
112,CID0257,P6184,purchased,2024-05-15
113,CID0854,P3106,viewed,2024-09-08
114,CID0538,P5672,purchased,2024-05-17
115,CID0881,P1689,clicked,2024-08-05
116,CID0865,P7308,purchased,2024-03-13
117,CID0447,P7629,purchased,2024-05-09
118,CID0701,P3696,purchased,2024-04-27
119,CID0547,P6184,clicked,2024-01-20
120,CID0485,P5069,viewed,2024-04-27
121,CID0414,P6184,purchased,2024-05-19
122,CID0956,P9202,viewed,2024-06-05
123,CID0698,P1539,purchased,2024-06-07
124,CID0486,P6493,clicked,2024-08-25
125,CID0557,P5640,clicked,2024-08-23
126,CID0525,P2181,purchased,2024-05-11
127,CID0504,P5741,clicked,2024-03-26
128,CID0408,P3106,clicked,2024-05-01
129,CID0795,P5085,purchased,2024-05-04
130,CID0753,P6608,purchased,2024-03-13
131,CID0140,P5741,viewed,2024-03-05
132,CID0086,P6839,purchased,2024-06-10
133,CID0108,P7513,clicked,2024-02-06
134,CID0733,P7629,clicked,2024-04-17
135,CID0980,P6422,purchased,2024-01-26
136,CID0299,P5640,viewed,2024-01-02
137,CID0137,P6608,clicked,2024-08-01
138,CID0027,P9813,clicked,2024-03-29
139,CID0772,P1539,purchased,2024-05-06
140,CID0172,P6839,viewed,2024-05-16
141,CID0999,P4587,viewed,2024-09-21
142,CID0419,P3576,purchased,2024-04-11
143,CID0927,P9854,viewed,2024-04-11
144,CID0793,P3665,viewed,2024-07-27
145,CID0375,P3106,clicked,2024-07-05
146,CID0751,P7513,clicked,2024-06-11
147,CID0988,P1615,purchased,2024-02-19
148,CID0680,P3665,clicked,2024-02-03
149,CID0591,P7893,purchased,2024-03-25
150,CID0892,P5728,viewed,2024-05-22
151,CID0099,P5002,purchased,2024-01-01
152,CID0443,P8104,purchased,2024-07-22
153,CID0452,P7629,clicked,2024-08-27
154,CID0715,P5002,purchased,2024-08-20
155,CID0440,P1284,purchased,2024-02-08
156,CID0552,P9202,viewed,2024-08-24
157,CID0949,P8741,viewed,2024-03-23
158,CID0152,P4531,purchased,2024-05-31
159,CID0880,P5741,purchased,2024-02-13
160,CID0155,P6344,purchased,2024-05-20
161,CID0594,P5002,purchased,2024-09-09
162,CID0164,P9488,purchased,2024-03-10
163,CID0687,P9633,clicked,2024-04-29
164,CID0373,P5994,viewed,2024-07-03
165,CID0737,P7308,purchased,2024-08-30
166,CID0179,P3106,viewed,2024-06-25
167,CID0498,P9842,viewed,2024-09-12
168,CID0315,P6493,clicked,2024-01-16
169,CID0896,P5669,viewed,2024-05-02
170,CID0496,P5669,clicked,2024-02-10
171,CID0862,P8282,viewed,2024-08-12
172,CID0524,P5728,viewed,2024-05-08
173,CID0440,P5728,clicked,2024-03-29
174,CID0347,P9633,purchased,2024-08-18
175,CID0550,P1484,purchased,2024-03-27
176,CID0867,P1112,purchased,2024-01-16
177,CID0333,P9202,purchased,2024-05-14
178,CID0477,P5994,purchased,2024-07-05
179,CID0494,P8741,viewed,2024-06-25
180,CID0143,P9068,clicked,2024-05-08
181,CID0525,P3106,purchased,2024-07-17
182,CID0707,P6422,clicked,2024-06-24
183,CID0990,P1484,clicked,2024-03-17
184,CID0958,P6493,viewed,2024-05-29
185,CID0484,P5728,clicked,2024-04-05
186,CID0576,P2181,viewed,2024-05-15
187,CID0569,P1689,clicked,2024-07-25
188,CID0668,P3696,purchased,2024-07-15
189,CID0598,P6344,clicked,2024-05-21
190,CID0486,P6603,viewed,2024-02-10
191,CID0970,P5669,viewed,2024-05-17
192,CID0831,P5669,clicked,2024-07-27
193,CID0530,P9813,purchased,2024-01-11
194,CID0801,P1689,viewed,2024-06-11
195,CID0751,P7893,clicked,2024-01-22
196,CID0908,P9854,purchased,2024-02-06
197,CID0433,P1689,clicked,2024-06-03
198,CID0241,P5741,viewed,2024-06-03
199,CID0499,P9202,purchased,2024-03-02
